Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2017-08-03,99.21,99.44,97.09,97.72,1623612.0,0.0,1.0,98.6211277666,98.849762575453,96.513711267606,97.139971830986,1623612.0
2017-08-04,97.8,98.28,97.5,97.93,1004579.0,0.0,1.0,97.219496981891,97.696647887324,96.921277665996,97.348725352113,1004579.0
2017-08-07,97.25,97.7251,96.605,97.17,1034361.0,0.0,1.0,96.672761569416,97.145041559356,96.031590040241,96.593236418511,1034361.0
2017-08-08,96.5,96.93,92.64,95.8,2277357.0,0.0,1.0,95.927213279678,96.354660965795,92.090124748491,95.231368209256,2277357.0
2017-08-09,96.17,98.0,94.68,95.4,2310170.0,0.0,1.0,95.599172032193,97.418309859155,94.118016096579,94.833742454728,2310170.0
2017-08-10,95.08,95.69,92.69,93.83,2108295.0,0.0,1.0,94.515641851107,95.122021126761,92.139827967807,93.273061368209,2108295.0
2017-08-11,93.55,94.73,93.21,94.42,1272553.0,0.0,1.0,92.99472334004,94.167719315895,92.656741448692,93.859559356137,1272553.0
2017-08-14,93.79,95.99,93.56,95.2,1298079.0,0.0,1.0,93.233298792757,95.420240442656,93.004663983903,94.634929577465,1298079.0
2017-08-15,94.49,95.27,93.15,94.65,1084219.0,0.0,1.0,93.929143863179,94.704514084507,92.597097585513,94.08819416499,1084219.0
2017-08-16,94.7,95.0,93.08,93.37,1220941.0,0.0,1.0,94.137897384306,94.436116700201,92.527513078471,92.815791750503,1220941.0
2017-08-17,92.87,93.915,91.85,92.72,1363529.0,0.0,1.0,92.318759557344,93.357556841046,91.3048138833,92.169649899396,1363529.0
2017-08-18,92.55,94.11,92.37,92.83,1319550.0,0.0,1.0,92.000658953722,93.551399396378,91.821727364185,92.278996981891,1319550.0
2017-08-21,93.01,93.01,91.82,92.75,1028584.0,0.0,1.0,92.457928571429,92.457928571429,91.27499195171,92.199471830986,1028584.0
2017-08-22,93.01,93.75,92.26,93.43,914552.0,0.0,1.0,92.457928571429,93.193536217304,91.71238028169,92.875435613682,914552.0
